name,LS,BS,RC,CT,DAC,NOI,TOE,FS,IS,IBC
吉林省昌农实业集团有限公司,张笑恺,一般项目：中草药种植；中草药收购；谷物种植；食用菌种植；豆类种植；油料种植；薯类种植；花卉种植；蔬菜种植；树木种植经营；地产中草药（不含中药饮片）购销；农作物种子经营（仅限不再分装的包装种子）；食用农产品初加工；食用农产品批发；食用农产品零售；农副产品销售；保健食品（预包装）销售；非食用农产品初加工；初级农产品收购；普通货物仓储服务（不含危险化学品等需许可审批的项目）；农业机械服务；农作物秸秆处理及加工利用服务；农作物病虫害防治服务；化肥销售；肥料销售；生物农药技术研发；生物有机肥料研发；日用品销售；厨具卫具及日用杂品批发；金属工具销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；国内贸易代理；会议及展览服务；计算机软硬件及辅助设备批发；信息技术咨询服务；信息系统运行维护服务；互联网数据服务；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,4000.0,988329600,0,13.0,0,1.0,0,0
吉林省华咨工程技术集团有限公司,刘尚,工程咨询，工程设计，规划咨询，工程监理，工程造价，工程勘察与测量，地产评估，招投标代理，合同能源管理，环境影响评价，水土保持评价，安全评价，环境风险应急预案咨询，突发环境事件应急预案咨询，实验检测，化工、节能环保、压力容器、锅炉等设备研发，非标设备安装测试，自动化控制系统，防腐保温工程，环境治理工程，管道工程，网络工程，政府采购方案咨询，质量管理体系认证咨询，环境管理体系认证咨询，环保工程总承包，建筑工程总承包，市政工程总承包（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2000.0,1422576000,0,9.0,1,1.0,0,0
吉林省英辰科技股份有限公司,吴琼,一般项目：软件开发；软件销售；电子产品销售；机械设备研发；计算机软硬件及辅助设备零售；橡胶制品销售；金属材料销售；导航终端销售；导航终端制造；卫星导航服务；信息系统集成服务；卫星技术综合应用系统集成；健康咨询服务（不含诊疗服务）；养生保健服务（非医疗）；智能家庭消费设备制造；智能家庭消费设备销售；家政服务；日用品销售；服装服饰零售；鞋帽零售；康复辅具适配服务；城乡市容管理；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；安全技术防范系统设计施工服务；信息技术咨询服务；劳务服务（不含劳务派遣）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第一类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,2200.0,1201478400,1,42.0,2,1.0,1,1
吉林省寰旗科技股份有限公司,刘田影,一般项目：信息系统集成服务；广告设计、代理；广告制作；平面设计；卫星技术综合应用系统集成；卫星遥感应用系统集成；软件开发；网络与信息安全软件开发；软件销售；卫星移动通信终端销售；导航、测绘、气象及海洋专用仪器销售；建筑装饰材料销售；安全技术防范系统设计施工服务；电子专用设备销售；智能仪器仪表销售；电子测量仪器销售；网络设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第二类增值电信业务；呼叫中心；建设工程施工；网络预约出租汽车经营服务；城市公共交通；道路旅客运输经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,2000.0,1270684800,1,37.0,2,1.0,1,2
长春融成智能设备制造股份有限公司,霍箭东,一般项目：通用设备制造（不含特种设备制造）；通用设备修理；专用设备制造（不含许可类专业设备制造）；专用设备修理；包装专用设备销售；包装专用设备制造；物料搬运装备销售；物料搬运装备制造；工业机器人销售；工业机器人制造；工业机器人安装、维修；智能机器人销售；智能机器人的研发；智能仓储装备销售；机械设备销售；机械设备研发；普通机械设备安装服务；机械零件、零部件销售；机械零件、零部件加工；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；软件销售；智能控制系统集成；信息系统集成服务；信息技术咨询服务；信息系统运行维护服务；智能仪器仪表销售；货物进出口；技术进出口；进出口代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,5230.0,845856000,2,234.0,2,2.0,0,0
长春希迈气象科技股份有限公司,王启万,气象仪器整机及传感器研制、生产、销售；技术咨询服务；仪表测控工程设计配套及安装；仪表测控仪器研制、生产、销售、安装、技术咨询、服务；气象仪器标准制修订；计算机信息系统集成（法律、法规和国务院决定禁止的项目不得经营，依法须经批准的项目，经相关部门批准后方可开展经营活动）,5191.2,1292803200,2,24.0,2,2.0,0,0
吉林省新方圆检测认证股份有限公司,张筱红,许可项目：检验检测服务；建设工程质量检测；室内环境检测；雷电防护装置检测；水利工程质量检测；农产品质量安全检测；安全生产检验检测；机动车检验检测服务；特种设备检验检测；认证服务；安全评价业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：公路水运工程试验检测服务；环境保护监测；计量技术服务；认证咨询；物业管理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,1000.0,1090281600,3,53.0,2,1.0,0,0
吉林省和润通信集团有限公司,李逸一,通信设备研发，通信工程、弱电工程、管道工程、网络工程、亮化工程、楼宇智能化工程、安全防范工程设计、施工、维护，系统集成服务，网络综合布线，软件技术开发、技术服务，信息技术服务，通信业务代理，增值电信业务，自有房屋租赁，自有场地租赁，电子产品、五金交电、电线电缆销售，机电设备安装，通信设备租赁，计算机网络工程、城市及道路照明工程、装饰装潢工程、高低压电力安装工程、消防工程施工，高低压电力设备、母线槽、网线、光纤销售，展览展示服务，网络工程咨询服务，人力资源管理咨询，商务信息咨询，房地产中介服务，软件销售，办公设备耗材销售，办公用品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,10000.0,1524441600,4,27.0,0,1.0,0,3
中国电建集团吉林省电力勘测设计院有限公司,沈江,工程勘察综合类甲级；工程造价咨询甲级；电力工程勘测设计甲级及该等级工程总承包；工程咨询（火电、市政公用工程）甲级、工程咨询（通信信息、其他新能源）丙级；测绘乙级；电力工程监理乙级；建筑行业（建筑工程）乙级；建筑装饰工程设计专项乙级；市政行业（热力工程）专业乙级；经销电力工程材料及设备；电力生产供应销售；工程项目招标代理；承包与其实力、规模相适应的国外工程项目；对外派遣实施上述境外工程所需的劳务人员（法律、法规和国务院决定禁止的项目不得经营，依法须经批准的项目，经相关部门批准后方可开展经营活动）,20000.0,497232000,3,268.0,3,2.0,0,0
吉林省云上出行网络科技有限公司,于贵博,网络技术服务；软件开发；汽车新车销售；新能源汽车整车销售；新能源汽车电附件销售；充电桩销售；新能源汽车废旧动力蓄电池回收（不含危险废物经营）；电动汽车充电基础设施运营；轮胎销售；第二类增值电信业务；计算机技术、网络技术领域内的技术开发、技术咨询、技术转让、技术服务；信息技术服务；设计、制作、代理和发布广告；商务及礼仪咨询服务；汽车租赁；劳动服务；商务信息咨询、企业管理咨询、市场营销咨询；汽车饰品、电子产品、通信设备及相关产品仪器仪表的销售及维修；货运代理；人才中介服务；日用品及预包装食品批发、零售；道路客运及货运经营；货运客运场站服务；交通运输设备研发；网络预约出租汽车经营服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,5000.0,1533600000,1,0.0,0,1.0,1,1
