Column,Original_Value,Encoded_Value
DAC,长春经济技术开发区,0
DAC,朝阳区,1
DAC,宽城区,2
DAC,南关区,3
DAC,长春净月高新技术产业开发区,4
DAC,九台区,5
DAC,二道区,6
DAC,长春高新技术产业开发区,7
DAC,双阳区,8
DAC,绿园区,9
DAC,长春汽车经济技术开发区,10
DAC,农安县,11
DAC,德惠市,12
DAC,公主岭市,13
DAC,市辖区,14
DAC,榆树市,15
TOE,有限责任公司（自然人投资或控股）,0
TOE,有限责任公司（自然人独资）,1
TOE,股份有限公司（非上市、自然人投资或控股）,2
TOE,有限责任公司（非自然人投资或控股的法人独资）,3
TOE,股份有限公司（上市、自然人投资或控股）,4
TOE,其他股份有限公司（非上市）,5
TOE,股份有限公司（台港澳与境内合资、未上市）,6
TOE,有限责任公司（自然人投资或控股的法人独资）,7
TOE,其他有限责任公司,8
TOE,有限责任公司（外国法人独资）,9
TOE,股份有限公司（非上市、国有控股）,10
TOE,有限责任公司（台港澳法人独资）,11
TOE,有限责任公司（中外合资）,12
TOE,有限责任公司（台港澳合资）,13
TOE,全民所有制,14
TOE,有限责任公司（外商投资企业法人独资）,15
TOE,股份有限公司,16
TOE,有限责任公司（其他）,17
TOE,有限责任公司（外商投资、非独资）,18
TOE,股份合作制,19
TOE,个人独资企业,20
TOE,有限责任公司分公司（自然人投资或控股）,21
IS,科学研究和技术服务业,0
IS,信息传输、软件和信息技术服务业,1
IBC,专业技术服务业,0
IBC,软件和信息技术服务业,1
IBC,电信、广播电视和卫星传输服务,2
IBC,科技推广和应用服务业,3
IBC,互联网和相关服务,4
IBC,研究和试验发展,5
