title, address, introduce, star, startime, tags, totalPrice, unitPrice
天然城，南北户型，明厨明卫，满五，随时看房。,天然城 - 富力,3室2厅 | 101.56平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 , 2个月以前发布,近地铁 | VR房源 | 房本满五年 | 随时看房,120万元,"11,816元/平"
众和嘉苑 大三室  东楼头  精装修,众和嘉苑 - 天山海世界,3室2厅 | 137.41平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,6人关注 , 2个月以前发布,VR看装修 | 房本满两年,128万元,"9,316元/平"
新1上精装婚房，带产权地下室，领包入住好楼层采光好,绿朗时光 - 富力,2室2厅 | 84.17平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 , 3个月以前发布,VR看装修 | 房本满两年 | 随时看房,95万元,"11,287元/平"
不临街 房三满两年 低楼层采光不影响 看房我有钥匙,众和嘉苑 - 天山海世界,2室2厅 | 78.32平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,2人关注 , 2个月以前发布,VR看装修 | 房本满两年,84万元,"10,726元/平"
同祥城 3室2厅 南,同祥城 - 天山海世界,3室2厅 | 112.42平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 , 3个月以前发布,VR看装修 | 房本满两年,133万元,"11,831元/平"
棒！满二 棒！东楼头无遮挡 棒！楼层好户型好采光充足,红石原著小区 - 富力,3室2厅 | 120.73平米 | 南 | 简装 | 高楼层(共22层)  | 板楼,0人关注 , 2个月以前发布,近地铁 | VR看装修 | 房本满两年,135万元,"11,182元/平"
精装两室，主卧带阳台，采光好小户型，房本满五唯一,同祥城 - 天山海世界,2室1厅 | 86.73平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,4人关注 , 2个月以前发布,VR看装修 | 房本满五年,83万元,"9,570元/平"
房东自住 保养好 看房方便  诚意出售,保利茉莉公馆 - 天山海世界,3室2厅 | 127.23平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 , 7个月以前发布,VR看装修 | 房本满两年 | 随时看房,175万元,"13,755元/平"
珠峰三期新房 小三居 全明户型 中间楼层 个税 有钥匙,珠峰国际花园 - 天山海世界,3室2厅 | 108.33平米 | 南 东 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 , 7个月以前发布,VR看装修 | 房本满两年 | 随时看房,125万元,"11,539元/平"
电梯洋房社区，小跃层精装修，大落地窗，使用面积大,天山熙湖 - 天山海世界,3室2厅 | 105.49平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2人关注 , 9个月以前发布,近地铁 | VR房源 | 房本满两年 | 随时看房,165万元,"15,642元/平"
南北通透户型   小三室  保利自持物业 24小时安保,保利茉莉公馆 - 天山海世界,3室2厅 | 118.55平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,5人关注 , 10个月以前发布,VR看装修 | 房本满两年 | 随时看房,148万元,"12,485元/平"
品质洋房社区阳面三室，两梯三户采光好，满五唯一诚售,润锦如园 - 天山海世界,3室2厅 | 103.42平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 , 3个月以前发布,VR看装修 | 房本满五年 | 随时看房,145万元,"14,021元/平"
双阳通透三居，中间层采光好，房本满五，楼下商圈繁华,同祥城 - 天山海世界,3室2厅 | 112.1平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,2人关注 , 4个月以前发布,VR看装修 | 房本满五年 | 随时看房,132万元,"11,776元/平"
洋房社区 精装 双阳户型 带地下室 诚心出售价格能聊,天山水榭花都 - 天山海世界,3室2厅 | 140.69平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,7人关注 , 5个月以前发布,VR看装修 | 房本满五年 | 随时看房,168万元,"11,942元/平"
四室跃层带大露台，带地下室，带可租的车位，户型很好,天山花园 - 天山海世界,4室3厅 | 208平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 , 11个月以前发布,VR房源 | 房本满五年 | 随时看房,169万元,"8,125元/平"
雍雅锦江洋房一楼，采光好 无遮挡,雍雅锦江 - 天山海世界,3室2厅 | 133.29平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,4人关注 , 10个月以前发布,近地铁 | VR看装修 | 房本满两年 | 随时看房,167万元,"12,530元/平"
满五  昆仑公园盘  单价合适  诚心出售,荣御府 - 天山海世界,3室2厅 | 143.31平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,3人关注 , 10个月以前发布,VR看装修 | 房本满五年 | 随时看房,157.8万元,"11,012元/平"
百米楼间距， 采光无死角，个税，随时看房,赵村新区 - 天山海世界,3室2厅 | 127.45平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,3人关注 , 一年前发布,VR看装修 | 房本满五年 | 随时看房,104.5万元,"8,200元/平"
天山熙湖二期，花园洋房社区，环境优美，鸟语花香,天山熙湖二期 - 天山海世界,3室2厅 | 127.5平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,1人关注 , 一年前发布,VR看装修 | 房本满两年 | 随时看房,179.5万元,"14,079元/平"
